Author_id,Count,Non_Lxi/Lxi,CountN,CountNC,CountLXI,CountBLANK,Behavior(N/NC),Behavior(Lxi/Blank)
221794,29,"['N', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'N', 'NC', 'NC', 'NC', 'blank', 'NC', 'NC', 'NC', 'blank', 'blank', 'NC', 'NC', 'blank', 'blank', 'blank', 'NC']",2,21,0,6,['Both'],['Blank']
224041,5,"['N', 'NC', 'NC', 'N', 'NC']",2,3,0,0,['Both'],[]
224750,1,['LxI'],0,0,1,0,[],['Thread Starter']
225925,7,"['N', 'N', 'LxI', 'N', 'NC', 'NC', 'NC']",3,3,1,0,['Both'],['Thread Starter']
212527,11,"['N', 'N', 'NC', 'N', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",3,1,1,6,['Both'],['Both']
222818,3,"['N', 'NC', 'NC']",1,2,0,0,['Both'],[]
215337,1,['N'],1,0,0,0,['Thread Comment'],[]
106071,6,"['N', 'NC', 'NC', 'LxI', 'LxI', 'NC']",1,3,2,0,['Both'],['Thread Starter']
224673,6,"['N', 'N', 'N', 'NC', 'NC', 'N']",4,2,0,0,['Both'],[]
225702,3,"['N', 'N', 'N']",3,0,0,0,['Thread Comment'],[]
219477,2,"['N', 'NC']",1,1,0,0,['Both'],[]
216431,35,"['NC', 'NC', 'N', 'NC', 'blank', 'NC', 'NC', 'N', 'N', 'NC', 'NC', 'NC', 'blank', 'blank', 'NC', 'NC', 'blank', 'NC', 'NC', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank']",3,14,1,17,['Both'],['Both']
225826,40,"['N', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'N', 'NC', 'NC', 'blank', 'blank', 'blank', 'LxI', 'NC', 'LxI', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",2,20,2,16,['Both'],['Both']
215471,11,"['NC', 'NC', 'NC', 'NC', 'NC', 'LxI', 'NC', 'N', 'NC', 'NC', 'NC']",1,9,1,0,['Both'],['Thread Starter']
222332,1,['LxI'],0,0,1,0,[],['Thread Starter']
227383,2,"['N', 'NC']",1,1,0,0,['Both'],[]
216084,3,"['NC', 'NC', 'NC']",0,3,0,0,['Comment'],[]
226875,1,['N'],1,0,0,0,['Thread Comment'],[]
