Author_id,Count,Non_Lxi/Lxi,CountN,CountNC,CountLXI,CountBLANK,Behavior(N/NC),Behavior(Lxi/Blank)
227338,24,"['N', 'LxI', 'blank', 'blank', 'blank', 'N', 'LxI', 'N', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI']",3,0,5,16,['Thread Comment'],['Both']
222566,3,"['blank', 'blank', 'blank']",0,0,0,3,[],['Blank']
227056,20,"['LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank']",0,0,3,17,[],['Both']
215874,13,"['LxI', 'N', 'N', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'N', 'LxI', 'blank']",3,0,2,8,['Thread Comment'],['Both']
222983,21,"['LxI', 'NC', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI']",0,1,9,11,['Comment'],['Both']
221705,8,"['NC', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,2,0,6,['Comment'],['Blank']
217653,13,"['LxI', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank']",0,0,5,8,[],['Both']
224185,5,"['N', 'blank', 'N', 'LxI', 'N']",3,0,1,1,['Thread Comment'],['Both']
215532,26,"['blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI']",0,0,4,22,[],['Both']
222678,3,"['LxI', 'LxI', 'LxI']",0,0,3,0,[],['Thread Starter']
216683,1,['LxI'],0,0,1,0,[],['Thread Starter']
225976,4,"['blank', 'blank', 'blank', 'blank']",0,0,0,4,[],['Blank']
214887,1,['NC'],0,1,0,0,['Comment'],[]
227266,8,"['LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI']",0,0,2,6,[],['Both']
217097,44,"['LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,1,3,40,['Comment'],['Both']
223924,7,"['LxI', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank']",0,0,2,5,[],['Both']
211552,2,"['N', 'NC']",1,1,0,0,['Both'],[]
219876,1,['LxI'],0,0,1,0,[],['Thread Starter']
221283,3,"['blank', 'blank', 'LxI']",0,0,1,2,[],['Both']
227069,12,"['LxI', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,3,9,[],['Both']
213983,1,['LxI'],0,0,1,0,[],['Thread Starter']
221245,7,"['blank', 'blank', 'blank', 'LxI', 'blank', 'LxI', 'blank']",0,0,2,5,[],['Both']
226833,1,['LxI'],0,0,1,0,[],['Thread Starter']
215815,5,"['blank', 'blank', 'LxI', 'LxI', 'blank']",0,0,2,3,[],['Both']
221244,8,"['LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,1,7,[],['Both']
222511,2,"['blank', 'blank']",0,0,0,2,[],['Blank']
216131,1,['N'],1,0,0,0,['Thread Comment'],[]
220594,10,"['LxI', 'blank', 'LxI', 'blank', 'NC', 'blank', 'blank', 'N', 'blank', 'blank']",1,1,2,6,['Both'],['Both']
214272,26,"['LxI', 'blank', 'blank', 'LxI', 'blank', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'N', 'NC', 'LxI', 'blank', 'LxI', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank']",1,1,9,15,['Both'],['Both']
225792,11,"['NC', 'LxI', 'LxI', 'N', 'LxI', 'blank', 'LxI', 'blank', 'blank', 'blank', 'LxI']",1,1,5,4,['Both'],['Both']
