Author_id,Count,Non_Lxi/Lxi,CountN,CountNC,CountLXI,CountBLANK,Behavior(N/NC),Behavior(Lxi/Blank)
222209,26,"['blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,2,24,[],['Both']
227398,4,"['blank', 'blank', 'blank', 'blank']",0,0,0,4,[],['Blank']
226212,4,"['blank', 'blank', 'blank', 'LxI']",0,0,1,3,[],['Both']
222511,2,"['blank', 'blank']",0,0,0,2,[],['Blank']
227009,3,"['N', 'blank', 'NC']",1,1,0,1,['Both'],['Blank']
227377,22,"['blank', 'blank', 'LxI', 'NC', 'N', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI']",1,1,4,16,['Both'],['Both']
215216,10,"['LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank']",0,0,3,7,[],['Both']
222042,57,"['blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI']",0,0,3,54,[],['Both']
224446,13,"['LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'LxI', 'blank', 'LxI']",0,0,4,9,[],['Both']
223493,25,"['blank', 'LxI', 'NC', 'NC', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,2,4,19,['Comment'],['Both']
222052,32,"['LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI']",0,0,6,26,[],['Both']
217919,25,"['blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'LxI', 'blank', 'LxI']",0,0,9,16,[],['Both']
212968,76,"['blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'blank', 'NC', 'NC', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'NC', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'blank', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'N', 'blank', 'blank']",1,8,2,65,['Both'],['Both']
219538,3,"['blank', 'LxI', 'LxI']",0,0,2,1,[],['Both']
223945,5,"['LxI', 'blank', 'blank', 'blank', 'blank']",0,0,1,4,[],['Both']
225181,5,"['blank', 'blank', 'blank', 'blank', 'blank']",0,0,0,5,[],['Blank']
220131,7,"['LxI', 'blank', 'N', 'blank', 'blank', 'blank', 'blank']",1,0,1,5,['Thread Comment'],['Both']
217530,18,"['N', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'blank', 'blank', 'blank']",1,0,6,11,['Thread Comment'],['Both']
212527,39,"['blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'N', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'N', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",2,0,3,34,['Thread Comment'],['Both']
216174,36,"['NC', 'NC', 'NC', 'NC', 'blank', 'NC', 'blank', 'NC', 'blank', 'NC', 'LxI', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,7,3,26,['Comment'],['Both']
221901,13,"['blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank']",0,0,2,11,[],['Both']
218256,14,"['blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank']",0,0,2,12,[],['Both']
213667,17,"['blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'blank', 'blank']",0,0,4,13,[],['Both']
