Author_id,Count,Non_Lxi/Lxi,CountN,CountNC,CountLXI,CountBLANK,Behavior(N/NC),Behavior(Lxi/Blank)
221794,41,"['blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'blank', 'blank', 'blank', 'NC', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'N', 'NC', 'blank', 'blank', 'blank', 'LxI', 'blank']",1,5,5,30,['Both'],['Both']
223424,4,"['N', 'N', 'N', 'N']",4,0,0,0,['Thread Comment'],[]
222582,12,"['LxI', 'LxI', 'LxI', 'blank', 'NC', 'NC', 'NC', 'LxI', 'LxI', 'LxI', 'N', 'LxI']",1,3,7,1,['Both'],['Both']
222760,17,"['N', 'N', 'NC', 'LxI', 'blank', 'N', 'LxI', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank']",3,1,6,7,['Both'],['Both']
227398,13,"['NC', 'NC', 'NC', 'LxI', 'blank', 'blank', 'NC', 'N', 'blank', 'LxI', 'LxI', 'LxI', 'N']",2,4,4,3,['Both'],['Both']
224557,13,"['N', 'NC', 'LxI', 'blank', 'blank', 'blank', 'blank', 'NC', 'NC', 'NC', 'LxI', 'LxI', 'LxI']",1,4,4,4,['Both'],['Both']
227377,28,"['blank', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'N', 'blank', 'LxI', 'LxI', 'LxI', 'NC', 'N', 'blank', 'LxI', 'LxI', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'NC']",2,5,5,16,['Both'],['Both']
218165,26,"['NC', 'NC', 'LxI', 'LxI', 'N', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC']",1,9,4,12,['Both'],['Both']
223069,11,"['NC', 'LxI', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,1,4,6,['Comment'],['Both']
222426,12,"['NC', 'blank', 'blank', 'blank', 'LxI', 'N', 'blank', 'LxI', 'LxI', 'blank', 'blank', 'blank']",1,1,3,7,['Both'],['Both']
225204,17,"['LxI', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'LxI', 'NC', 'LxI', 'LxI', 'LxI', 'LxI', 'NC', 'NC', 'NC']",0,4,7,6,['Comment'],['Both']
220045,10,"['blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,1,9,[],['Both']
212876,19,"['blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'LxI', 'NC', 'blank', 'blank', 'LxI', 'LxI', 'blank', 'blank', 'blank']",0,1,7,11,['Comment'],['Both']
215945,25,"['LxI', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'LxI', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'NC', 'NC']",0,4,6,15,['Comment'],['Both']
217573,6,"['blank', 'LxI', 'blank', 'N', 'NC', 'LxI']",1,1,2,2,['Both'],['Both']
106071,1,['blank'],0,0,0,1,[],['Blank']
219398,19,"['blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,0,19,[],['Blank']
223952,20,"['blank', 'blank', 'blank', 'blank', 'LxI', 'N', 'LxI', 'blank', 'blank', 'blank', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'N', 'blank', 'LxI']",2,1,4,13,['Both'],['Both']
226385,17,"['blank', 'blank', 'blank', 'blank', 'NC', 'NC', 'NC', 'NC', 'NC', 'N', 'blank', 'N', 'N', 'N', 'blank', 'blank', 'blank']",4,5,0,8,['Both'],['Blank']
211815,2,"['blank', 'blank']",0,0,0,2,[],['Blank']
213360,7,"['blank', 'LxI', 'LxI', 'LxI', 'N', 'LxI', 'LxI']",1,0,5,1,['Thread Comment'],['Both']
221739,19,"['blank', 'NC', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'blank']",0,1,4,14,['Comment'],['Both']
213817,6,"['blank', 'blank', 'LxI', 'LxI', 'LxI', 'N']",1,0,3,2,['Thread Comment'],['Both']
220701,8,"['LxI', 'LxI', 'LxI', 'blank', 'blank', 'LxI', 'blank', 'blank']",0,0,4,4,[],['Both']
224750,1,['N'],1,0,0,0,['Thread Comment'],[]
227266,17,"['blank', 'N', 'LxI', 'LxI', 'LxI', 'N', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",2,0,5,10,['Thread Comment'],['Both']
223072,1,['NC'],0,1,0,0,['Comment'],[]
221901,15,"['LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'N']",1,0,4,10,['Thread Comment'],['Both']
